1,Batman (1992–1995),9
2,Samurai Jack (2001–2017),8.5
3,Avatar - La leggenda di Aang (2005–2008),9.3
4,Total Drama Island (2007–2014),7.4
5,Scooby-Doo! Mystery Incorporated (2010–2013),8.1
6,Justice League (2001–2004),8.6
7,Avengers - I più potenti eroi della Terra (2010–2012),8.3
8,Batman of the Future (1999–2001),8.1
9,Teenage Mutant Ninja Turtles - Tartarughe Ninja (2012–2017),7.9
10,Teen Titans (2003–2006),7.9
11,Ben 10 (2005–2008),7.4
12,Generator Rex (2010–2013),7.6
13,Trollhunters: I racconti di arcadia (2016–2018),8.4
14,Gargoyles (1994–1997),8.1
15,Roswell Conspiracies: Aliens Myths & Legends (1997–1999),7.5
16,La leggenda di Korra (2012–2014),8.4
17,Voltron: Legendary Defender (2016–2018),8.1
18,The Spectacular Spider-Man (2008–2009),8.3
19,Megas XLR (2004–2005),8.3
20,Sym-Bionic Titan (2010–2011),8.1
21,Gravity Falls (2012–2016),8.9
22,Star Wars: The Clone Wars (2008–2020),8.4
23,Star Wars: Rebels (2014–2018),8.
24,Kim Possible (2002–2007),7.2
25,Nome in codice: Kommando Nuovi Diavoli (2002–2008),7.2
26,Danny Phantom (2003–2007),7.1
27,Il principe dei draghi (2018– ),8.3
28,Futurama (1999–2023),8.5
29,Rapunzel - La serie (2017–2020),7.7
30,3 in mezzo a noi: I racconti di Arcadia (2018–2019),7.7
31,Castlevania (2017–2021),8.3
32,Final Space (2018–2021),8.2
33,Tron: Uprising (2012–2013),8.2
34,Thundercats (2011–2012),7.8
35,The Boondocks (2005–2014),8.5
36,Rick and Morty (2013– ),9.1
37,6Teen (2004–2010),7.5
38,Scooby-Doo dove sei tu? (1969–1970),7.9
39,Detentionaire (2011–2014),8.
40,SWAT Kats: The Radical Squadron (1993–1995),8.4
41,I Maghi: I racconti di Arcadia (2020),8.
42,Primal (2019– ),8.7
43,Dota: Dragon's Blood (2021– ),7.8
44,Invincible (2021– ),8.7
45,Blood of Zeus (2020– ),7.5
46,Arcane (2021– ),9.
47,La leggenda di Vox Machina (2022– ),8.4
48,Young Justice (2010–2022),8.6
49,Miraculous - Le storie di Ladybug e Chat Noir (2015– ),7.6
50,Titan Maximum (2009),7.
51,American Dad! (2005– ),7.4
52,Robot Chicken (2001– ),7.7
53,Bob's Burgers (2011– ),8.2
54,South Park (1997– ),8.7
55,I Griffin (1999– ),8.2
56,Aqua Teen Hunger Force (2000–2015),7.7
57,I Simpson (1989– ),8.7
58,King of the Hill (1997–2010),7.5
59,Animaniacs (1993–1998),7.9
60,Mignolo e Prof (1995–1998),7.8
61,Le tenebrose avventure di Billy & Mandy (2001–2007),7.7
62,Star Wars: Clone Wars (2003–2005),7.8
63,Le avventure di Jackie Chan (2000–2005),7.4
64,Wolverine and the X-Men (2008–2009),8.
65,Le avventure di Superman (1996–2000),8.1
66,Johnny Bravo (1997–2004),7.2
67,Il laboratorio di Dexter (1996–2003),7.9
68,Leone il cane fifone (1999–2002),8.3
69,Le superchicche (1998–2004),7.3
70,Ed Edd & Eddy (1999–2008),7.5
71,X-Men: Evolution (2000–2003),7.8
72,DuckTales (2017–2021),8.3
73,Resa dei conti con Xiaolin (2003–2006),7.5
74,The Bugs Bunny/Looney Tunes Comedy Hour (1985–1986),8.4
75,I favolosi Tiny (1990–1995),7.5
76,Fillmore! (2002–2004),7.6
77,American Dragon: Jake Long (2005–2007),6.6
78,Motorcity (2012–2013),7.2
79,Over the Garden Wall - Avventura nella foresta dei misteri (2014),8.8
80,Anfibia (2019–2022),8.3
81,Extreme Ghostbusters (1997),6.9
82,My Life as a Teenage Robot (2002–2022),7.
83,Marco e Star contro le forze del male (2015–2023),8.
84,The Legend of Calamity Jane (1997–1998),7.7
85,Clone High (2002–2003),8.2
86,Mission Hill (1999–2002),7.8
87,Clerks (2000–2001),7.4
88,Undergrads (2001),7.8
89,Downtown (1999–2000),8.2
90,Gli ultimi ragazzi sulla Terra (2019–2021),7.3
91,Leggende (2017),7.3
92,The Hollow (2018–2020),7.2
93,Hit-Monkey (2021),7.8
94,Freakazoid! (1995–1997),7.5
95,Histeria! (1998–2000),7.7
96,Duck Dodgers (2003–2005),7.8
97,Lo spettacolo dei Looney Tunes (2011–2015),7.7
98,Due Fantagenitori (2001–2017),7.2
99,Le avventure di Jimmy Neutron (2002–2006),6.7
100,Zim Invasore (2001–2006),8.0